ProductNameLong,Description,CompanyName,PackageIdentifier,TypeName,SpecificProductID,SpecificDrugProductID,GenericDrugProductID,EquivalenceCodes,BrandGenericStatus,LicenseTypeName,LegendStatus,MarketStatus,OffMarketDate,Repackaged,PrivateLabel,DEAClassification,ReplacedByPackageID,MarketClasses,PackageSize,Ingredients,OnMarketDate,WACBeginDate,WACPrice,WACPriceChange,WACUnitPrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telmisartan 40mg Tablet,"unit dose blister card, 1 each Telmisartan 40mg, Oral tablet",Zydus Pharmaceuticals (USA) Inc.,68382-0472-30,NDC,3657,2944,1970,AB,Generic,aNDA,Rx,On,,No,No,NA,,Angiotensin-II Receptor Blockers/ARBs (Oral),1,(2560) Telmisartan,9/3/2014 0:00,6/18/2019,1.5,(-) 58.88,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bydureon 2mg Pen Extended-Release Powder for Suspension for Injection,"box, 4 Dual-chamber syringe, 1 each Exenatide 2mg, Powder for suspension for injection, Extended Release and 1 each Needle (unspecified size)",AstraZeneca Pharmaceuticals LP,00310-6530-04,NDC,22136,16143,10131,NR,Brand,NDA,Rx,On,,No,No,NA,,Incretin mimetics Antidiabetics (Subcutaneous),4,(3348) Exenatide,9/1/2014 0:00,1/1/2019,699.77,(+) 6.00,174.9425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaqta (Adult) 50unit/ml Suspension for Injection,"box, 10 pre-filled syringes, 1 ml Hep A Vacc (Inact) 50U/1mL, Suspension for injection","Merck Sharp & Dohme Corp., a Subsidiary of Merck & Co., Inc.",00006-4096-02,NDC,22181,18788,11972,NR,Brand,BLA,Rx,On,,No,No,NA,,Hepatitis Vaccines (Intramuscular),10,(5341) Hepatitis A Virus Strain CR 326F antigen (Formaldehyde inactivated),7/15/2014 0:00,11/15/2018,682.3,(+) 1.97,68.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaqta Pediatric/Adolescent 25unit/0.5ml Suspension for Injection,"box, 10 pre-filled syringes, 0.5 ml Hep A Vacc (Inact) 25U/0.5mL, Suspension for injection","Merck Sharp & Dohme Corp., a Subsidiary of Merck & Co., Inc.",00006-4095-02,NDC,22183,18789,11972,NR,Brand,BLA,Rx,On,,No,No,NA,,Hepatitis Vaccines (Intramuscular),5,(5341) Hepatitis A Virus Strain CR 326F antigen (Formaldehyde inactivated),7/15/2014 0:00,11/15/2018,326.57,(+) 1.95,65.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humira 40mg/0.8mL Crohns Disease Pediatric Starter Package Prefilled Syringe Kit,"box, 6 pre-filled syringe, 0.8 ml Adalimumab 40mg/0.8mL, Solution for injection and 6 each 27 gauge, 0.5 inch needle, 6 each Alcohol Pad or Swab",AbbVie US LLC,00074-3799-06,NDC,13218,6286,4516,NR,Brand,BLA,Rx,On,,No,No,NA,,Anti-Rheumtic Monoclonal Antibody Preparations (Subcutaneous); Antipsoriatic Monoclonal Antibodies and Others (Subcutaneous); Tumor Necrosis Factor (TNF)-Alpha Inhibitors (Subcutaneous),6,(31) Adalimumab,10/1/2014 0:00,1/1/2019,15522.32,(+) 6.20,2587.05333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humira 40mg/0.8mL Crohns Disease Pediatric Starter Package Prefilled Syringe Kit,"box, 3 pre-filled syringe, 0.8 ml Adalimumab 40mg/0.8mL, Solution for injection and 3 each 27 gauge, 0.5 inch needle, 4 each Alcohol Pad or Swab",AbbVie US LLC,00074-3799-03,NDC,13218,6286,4516,NR,Brand,BLA,Rx,On,,No,No,NA,,Anti-Rheumtic Monoclonal Antibody Preparations (Subcutaneous); Antipsoriatic Monoclonal Antibodies and Others (Subcutaneous); Tumor Necrosis Factor (TNF)-Alpha Inhibitors (Subcutaneous),3,(31) Adalimumab,10/1/2014 0:00,1/1/2019,7761.16,(+) 6.20,2587.05333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vazculep 10mg/ml Solution for Injection,"box, 25 vials, 1 ml Phenylephrine HCl 10mg/1mL, Solution for injection","Avadel Legacy Pharmaceuticals, Inc.",76014-0004-25,NDC,12921,10481,2281,AP,Brand,NDA,Rx,On,,No,No,NA,,Cardiac Stimulants Excluding Dopaminergic Agents (Intravenous),25,(2195) Phenylephrine Hydrochloride,10/1/2014 0:00,8/3/2018,91.75,(-) 20.04,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vazculep 50mg/5ml Bulk Solution for Injection,"box, 10 vials, 5 ml Phenylephrine HCl 10mg/1mL, Solution for injection","Avadel Legacy Pharmaceuticals, Inc.",76014-0004-10,NDC,12921,10481,2281,AP,Brand,NDA,Rx,On,,No,No,NA,,Cardiac Stimulants Excluding Dopaminergic Agents (Intravenous),50,(2195) Phenylephrine Hydrochloride,10/1/2014 0:00,8/3/2018,220.7,(-) 15.05,4.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diltiazem Hydrochloride 120mg Extended-Release Capsule,"bottle, 90 each Diltiazem HCl 120mg, Oral capsule, extended release","AvKARE, Inc.",42291-0184-90,NDC,48,42,33,AB3,Generic,aNDA,Rx,On,,No,No,NA,,"Anti-anginal Agents, other (Oral); Anti-arrhythmics, Class IV (Oral); Benzothiazepine Calcium Channel Blockers (Oral)",90,(1111) Diltiazem Hydrochloride,10/10/2016 0:00,4/16/2019,13.12,(-) 39.81,0.14577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diltiazem Hydrochloride 180mg Extended-Release Capsule,"bottle, 90 each Diltiazem HCl 180mg, Oral capsule, extended release","AvKARE, Inc.",42291-0185-90,NDC,63,57,33,AB3,Generic,aNDA,Rx,On,,No,No,NA,,"Anti-anginal Agents, other (Oral); Anti-arrhythmics, Class IV (Oral); Benzothiazepine Calcium Channel Blockers (Oral)",90,(1111) Diltiazem Hydrochloride,10/10/2016 0:00,4/16/2019,14.86,(-) 39.44,0.16511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diltiazem Hydrochloride 240mg Extended-Release Capsule,"bottle, 90 each Diltiazem HCl 240mg, Oral capsule, extended release","AvKARE, Inc.",42291-0186-90,NDC,49,43,33,AB3,Generic,aNDA,Rx,On,,No,No,NA,,"Anti-anginal Agents, other (Oral); Anti-arrhythmics, Class IV (Oral); Benzothiazepine Calcium Channel Blockers (Oral)",90,(1111) Diltiazem Hydrochloride,10/10/2016 0:00,4/16/2019,20.04,(-) 34.01,0.22266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diltiazem Hydrochloride 300mg Extended-Release Capsule,"bottle, 90 each Diltiazem HCl 300mg, Oral capsule, extended release","AvKARE, Inc.",42291-0187-90,NDC,50,44,33,AB3,Generic,aNDA,Rx,On,,No,No,NA,,"Anti-anginal Agents, other (Oral); Anti-arrhythmics, Class IV (Oral); Benzothiazepine Calcium Channel Blockers (Oral)",90,(1111) Diltiazem Hydrochloride,10/10/2016 0:00,4/16/2019,22.96,(-) 44.84,0.25511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tridesilon 0.05% Topical Cream,"tube, 60 grams Desonide 0.05%, Topical cream","Encore Dermatology, Inc.",69482-0600-60,NDC,1155,1060,609,AB,Generic,NDA,Rx,On,,No,No,NA,,Plain Topical Corticosteroids (Topical),60,(1011) Desonide,11/1/2016 0:00,10/4/2018,711,(+) 8.94,11.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydromorphone Hydrochloride 8mg Extended-Release Tablet,"bottle, 100 each Hydromorphone HCl 8mg, Oral tablet, extended release","Trigen Laboratories, Inc.",13811-0701-10,NDC,17358,14275,9005,AB,Generic,aNDA,Rx,On,,No,No,schedule II,,Opioid Agonists (Oral),100,(1590) Hydromorphone Hydrochloride,10/1/2016 0:00,3/20/2019,769.85,(+) 57.91,7.6985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydromorphone Hydrochloride 12mg Extended-Release Tablet,"bottle, 100 each Hydromorphone HCl 12mg, Oral tablet, extended release","Trigen Laboratories, Inc.",13811-0702-10,NDC,17356,14273,9005,AB,Generic,aNDA,Rx,On,,No,No,schedule II,,Opioid Agonists (Oral),100,(1590) Hydromorphone Hydrochloride,10/1/2016 0:00,3/20/2019,1150.61,(+) 91.76,11.5061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydromorphone Hydrochloride 16mg Extended-Release Tablet,"bottle, 100 each Hydromorphone HCl 16mg, Oral tablet, extended release","Trigen Laboratories, Inc.",13811-0703-10,NDC,17357,14274,9005,AB,Generic,aNDA,Rx,On,,No,No,schedule II,,Opioid Agonists (Oral),100,(1590) Hydromorphone Hydrochloride,10/1/2016 0:00,3/20/2019,1534.14,(+) 91.76,15.3414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydromorphone Hydrochloride 32mg Extended-Release Tablet,"bottle, 100 each Hydromorphone HCl 32mg, Oral tablet, extended release","Trigen Laboratories, Inc.",13811-0704-10,NDC,20091,16886,9005,AB,Generic,aNDA,Rx,On,,No,No,schedule II,,Opioid Agonists (Oral),100,(1590) Hydromorphone Hydrochloride,10/1/2016 0:00,3/20/2019,2029,(+) 26.81,20.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glassia 1g/50mL Solution for Injection,"box, 1 vials, 50 ml Alpha-1-Proteinase Inhibitor (Human), Solution for injection and 1 each Filter needle","Baxalta Inc, a Shire Company",00944-2884-01,NDC,19087,15910,9305,NR,Brand,BLA,Rx,On,,No,No,NA,,Emphysema Agents (Intravenous),1,(71) Alpha-1-Proteinase Inhibitor (Human),9/20/2010 0:00,7/1/2019,0.56,(+) 1.81,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daytrana 30mg/9hr Transdermal System,"box, 30 each Methylphenidate HCl 3.3mg/1h, Transdermal Patch - 9 hour","Noven Therapeutics, LLC ",68968-5555-03,NDC,13034,10554,6915,NR,Brand,NDA,Rx,On,,No,No,schedule II,,"Psychostimulants, Methylphenidate Derivatives (Topical)",30,(1369) Methylphenidate Hydrochloride,2/16/2011 0:00,1/15/2019,366.12,(+) 1.10,12.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centany AT 2% Topical Ointment Kit,"box, 1 tubes, 30 grams Mupirocin 2%, Topical ointment and 24 each Cloth Tape, 12 each Gauze Pad","Medimetriks Pharmaceuticals, Inc.",43538-0310-30,NDC,18145,1807,1091,BX,Brand,NDA,Rx,On,,No,No,NA,,"Topical Antibacterial Agents, Other (Topical)",1,(1992) Mupirocin,12/1/2010 0:00,3/22/2019,276.73,(+) 3.60,276.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumaxin TS 8%-4% Topical Suspension,"bottle, 473 ml Sulfacetamide Sod 8%, Sulfur 4%, Topical suspension","Medimetriks Pharmaceuticals, Inc.",43538-0160-16,NDC,18146,15009,2958,NA,Brand,Unapproved Drug,Rx,On,,No,No,NA,,Topical Sulfonamides (Topical),473,(1736) Sulfacetamide Sodium; (1751) Sulfur,11/1/2010 0:00,3/22/2019,550.56,(+) 3.59,1.16397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daytrana 10mg/9hr Transdermal System,"box, 30 each Methylphenidate HCl 1.1mg/1h, Transdermal Patch - 9 hour","Noven Therapeutics, LLC ",68968-5552-03,NDC,13031,10551,6915,NR,Brand,NDA,Rx,On,,No,No,schedule II,,"Psychostimulants, Methylphenidate Derivatives (Topical)",30,(1369) Methylphenidate Hydrochloride,2/26/2011 0:00,1/15/2019,366.12,(+) 1.10,12.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adynovate 750units Powder for Injection,"box, 1 Microinjection system, 1 each Antihemophilic Factor (Recombinant), PEGylated, Lyophilisate for solution for injection and 2 ml Sterile Water for Injection","Baxalta Inc, a Shire Company",00944-4626-01,NDC,24709,20538,13100,NR,Brand,BLA,Rx,On,,No,No,NA,,Blood Coagulation Factors (Intravenous),1,"(5706) Antihemophilic Factor (Recombinant), PEGylated",1/18/2017 0:00,1/1/2019,2.1,(+) 3.96,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adynovate 1500units Powder for Injection,"box, 1 Microinjection system, 1 each Antihemophilic Factor (Recombinant), PEGylated, Lyophilisate for solution for injection and 2 ml Sterile Water for Injection","Baxalta Inc, a Shire Company",00944-4627-01,NDC,24709,20538,13100,NR,Brand,BLA,Rx,On,,No,No,NA,,Blood Coagulation Factors (Intravenous),1,"(5706) Antihemophilic Factor (Recombinant), PEGylated",1/18/2017 0:00,1/1/2019,2.1,(+) 3.96,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etodolac 200mg Capsule,"bottle, 100 each Etodolac 200mg, Oral capsule","AvKARE, Inc.",42291-0404-01,NDC,81,74,51,AB,Generic,aNDA,Rx,On,,No,No,NA,,Nonsteroidal Antiinflammatory Drugs/NSAIDs (Oral),100,(675) Etodolac,1/9/2017 0:00,4/16/2019,15.11,(-) 34.58,0.1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etodolac 300mg Capsule,"bottle, 100 each Etodolac 300mg, Oral capsule","AvKARE, Inc.",42291-0405-01,NDC,82,75,51,AB,Generic,aNDA,Rx,On,,No,No,NA,,Nonsteroidal Antiinflammatory Drugs/NSAIDs (Oral),100,(675) Etodolac,1/9/2017 0:00,4/16/2019,16.78,(-) 30.51,0.1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betapace 160mg Tablet,"bottle, 100 each Sotalol HCl 160mg, Oral tablet",Covis Pharma,70515-0106-10,NDC,1149,1055,197,AB1,Brand,aNDA,Rx,On,,No,No,NA,,"Anti-arrhythmics, Class III (Oral)",100,(1688) Sotalol Hydrochloride,1/23/2017 0:00,6/4/2019,3372.66,(+) 4.99,33.7266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dextrose 5% Solution for Injection,"bag, 250 ml Dextrose 5%, Solution for injection",Baxter Medication Delivery,00338-0062-30,NDC,1968,1703,1020,AP,Generic,NDA,Rx,On,,No,No,NA,,"Carbohydrate IV Solutions and Additives, 10% or less (Intravenous)",250,(1063) Dextrose,6/10/2019 0:00,6/10/2019,4.41,,0.01764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PediaSure Enteral 1 Cal Therapeutic Nutrition (Vanilla),can 237 ml Liquid Nutrition,Abbott Nutrition,70074-067401,UPC,27077,,,NA,Brand,N/A,OTC,On,,No,No,NA,,,237,,5/1/2019 0:00,5/1/2019,1.75,,0.00738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECONEX DMX 10mg-17.5mg-400mg Tablet,"bottle, 100 each Dextromethorphan HBr 17.5mg, Phenylephrine HCl 10mg, Guaifenesin 400mg, Oral tablet",Poly Pharmaceuticals Inc,50991-0740-01,NDC,27085,21645,1593,NA,Brand,OTC Final,OTC,On,,No,No,NA,,"Non-Opioid Antitussive, Decongestant, and Expectorant Combinations (Oral)",100,(1061) Dextromethorphan Hydrobromide; (2195) Phenylephrine Hydrochloride; (1153) Guaifenesin,6/1/2019 0:00,6/1/2019,62.27,,0.6227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dextrose 5% Solution for Injection,"bag, 500 ml Dextrose 5%, Solution for injection",Baxter Medication Delivery,00338-0066-20,NDC,1968,1703,1020,AP,Generic,NDA,Rx,On,,No,No,NA,,"Carbohydrate IV Solutions and Additives, 10% or less (Intravenous)",500,(1063) Dextrose,6/10/2019 0:00,6/10/2019,4.88,,0.00976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tizanidine Hydrochloride 4mg Tablet,"bottle, 150 each Tizanidine HCl 4mg, Oral tablet","Major Pharmaceuticals Inc, a Harvard Drug Group Company",00904-6898-92,NDC,319,299,183,AB,Generic,aNDA,Rx,On,,No,No,NA,,"Muscle Relaxants, Centrally Acting, Plain (Oral)",150,(1488) Tizanidine Hydrochloride,6/10/2019 0:00,6/10/2019,11.79,,0.0786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poly Hist Forte 10.5mg-10mg Tablet,"bottle, 100 each Phenylephrine HCl 10mg, Doxylamine Succ 10.5mg, Oral tablet",Poly Pharmaceuticals Inc,50991-0626-01,NDC,27087,21646,11658,NA,Brand,OTC Final,OTC,On,,No,No,NA,,Sedating Antihistamine and Decongestant Combinations (Oral),100,(2195) Phenylephrine Hydrochloride; (567) Doxylamine Succinate,6/1/2019 0:00,6/1/2019,61.57,,0.6157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALA-HIST PE 2mg-10mg Tablet,"bottle, 90 each Dexbrompheniramine Maleate 2mg, Phenylephrine HCl 10mg, Oral tablet",Poly Pharmaceuticals Inc,50991-0782-90,NDC,25227,20777,11735,NA,Brand,OTC Final,OTC,On,,No,No,NA,,Sedating Antihistamine and Decongestant Combinations (Oral),90,(1018) Dexbrompheniramine Maleate; (2195) Phenylephrine Hydrochloride,6/1/2019 0:00,6/1/2019,56.04,,0.62267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humira Crohns Disease Pediatric Starter Package Pre-Filled Syringe Kit,"box, 2 pre-filled syringe, 0.4 ml Adalimumab 40mg/0.4mL, Solution for injection, 0.8 ml Adalimumab 80mg/0.8mL, Solution for injection and 2 each 29 gauge, 0.5 inch needle, 2 each Alcohol Pad or Swab",AbbVie US LLC,00074-0067-02,NDC,25882,21198,13435,NR,Brand,BLA,Rx,On,,No,No,NA,,Tumor Necrosis Factor (TNF)-Alpha Inhibitors (Subcutaneous),2,(31) Adalimumab; (31) Adalimumab,5/1/2018 0:00,1/1/2019,7761.16,(+) 6.20,3880.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JYNARQUE 45mg-15mg Tablet,"box, 4 multi-item blister cards, 7 each Tolvaptan 15mg, Oral tablet, 7 each Tolvaptan 45mg, Oral tablet",Otsuka America Pharmaceuticals Inc,59148-0087-28,NDC,25893,21201,13436,NR,Brand,NDA,Rx,On,,No,No,NA,,Vasopressin Antagonists (Oral),56,(3891) Tolvaptan; (3891) Tolvaptan,5/24/2018 0:00,1/15/2019,13693.16,(+) 5.00,244.52071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JYNARQUE 45mg-15mg Tablet,"blister card, 7 each Tolvaptan 15mg, Oral tablet, 7 each Tolvaptan 45mg, Oral tablet",Otsuka America Pharmaceuticals Inc,59148-0087-07,NDC,25893,21201,13436,NR,Brand,NDA,Rx,On,,No,No,NA,,Vasopressin Antagonists (Oral),14,(3891) Tolvaptan; (3891) Tolvaptan,5/24/2018 0:00,1/15/2019,3423.29,(+) 5.00,244.52071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JYNARQUE 60mg-30mg Tablet,"box, 4 multi-item blister cards, 7 each Tolvaptan 30mg, Oral tablet, 7 each Tolvaptan 60mg, Oral tablet",Otsuka America Pharmaceuticals Inc,59148-0088-28,NDC,25894,21202,13436,NR,Brand,NDA,Rx,On,,No,No,NA,,Vasopressin Antagonists (Oral),56,(3891) Tolvaptan; (3891) Tolvaptan,5/24/2018 0:00,1/15/2019,13693.16,(+) 5.00,244.52071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JYNARQUE 60mg-30mg Tablet,"multi-item blister card, 7 each Tolvaptan 30mg, Oral tablet, 7 each Tolvaptan 60mg, Oral tablet",Otsuka America Pharmaceuticals Inc,59148-0088-07,NDC,25894,21202,13436,NR,Brand,NDA,Rx,On,,No,No,NA,,Vasopressin Antagonists (Oral),14,(3891) Tolvaptan; (3891) Tolvaptan,5/24/2018 0:00,1/15/2019,3423.29,(+) 5.00,244.52071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JYNARQUE 90mg-30mg Tablet,"box, 4 multi-item blister cards, 7 each Tolvaptan 30mg, Oral tablet, 7 each Tolvaptan 90mg, Oral tablet",Otsuka America Pharmaceuticals Inc,59148-0089-28,NDC,25895,21203,13436,NR,Brand,NDA,Rx,On,,No,No,NA,,Vasopressin Antagonists (Oral),56,(3891) Tolvaptan; (3891) Tolvaptan,5/24/2018 0:00,1/15/2019,13693.16,(+) 5.00,244.52071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JYNARQUE 90mg-30mg Tablet,"multi-item blister card, 7 each Tolvaptan 30mg, Oral tablet, 7 each Tolvaptan 90mg, Oral tablet",Otsuka America Pharmaceuticals Inc,59148-0089-07,NDC,25895,21203,13436,NR,Brand,NDA,Rx,On,,No,No,NA,,Vasopressin Antagonists (Oral),14,(3891) Tolvaptan; (3891) Tolvaptan,5/24/2018 0:00,1/15/2019,3423.29,(+) 5.00,244.52071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lidocaine Hydrochloride 1% Solution for Injection,"box, 10 vials, 5 ml Lidocaine HCl 1%, Solution for injection",AuroMedics Pharma LLC,55150-0162-05,NDC,4507,3527,2400,AP,Generic,aNDA,Rx,On,,No,No,NA,,"Amide Local Anesthetics (Epidural); Amide Local Anesthetics (Infiltration); Amide Local Anesthetics (Intracaudal); Anti-arrhythmics, Class I-B (Epidural); Anti-arrhythmics, Class I-B (Infiltration); Anti-arrhythmics, Class I-B (Intracaudal)",50,(1819) Lidocaine Hydrochloride,12/16/2013 0:00,4/1/2019,29.6,(+) 6.36,0.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lidocaine Hydrochloride 1% Solution for Injection,"vial, 30 ml Lidocaine HCl 1%, Solution for injection",AuroMedics Pharma LLC,55150-0163-30,NDC,4507,3527,2400,AP,Generic,aNDA,Rx,On,,No,No,NA,,"Amide Local Anesthetics (Epidural); Amide Local Anesthetics (Infiltration); Amide Local Anesthetics (Intracaudal); Anti-arrhythmics, Class I-B (Epidural); Anti-arrhythmics, Class I-B (Infiltration); Anti-arrhythmics, Class I-B (Intracaudal)",30,(1819) Lidocaine Hydrochloride,12/16/2013 0:00,4/1/2019,3.19,(+) 6.33,0.10633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lidocaine Hydrochloride 2% Solution for Injection,"box, 10 vials, 2 ml Lidocaine HCl 2%, Solution for injection",AuroMedics Pharma LLC,55150-0164-02,NDC,4517,3533,2400,AP,Generic,aNDA,Rx,On,,No,No,NA,,"Amide Local Anesthetics (Epidural); Amide Local Anesthetics (Infiltration); Amide Local Anesthetics (Intracaudal); Anti-arrhythmics, Class I-B (Epidural); Anti-arrhythmics, Class I-B (Infiltration); Anti-arrhythmics, Class I-B (Intracaudal)",20,(1819) Lidocaine Hydrochloride,12/16/2013 0:00,4/1/2019,33.33,(+) 6.34,1.6665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
