Combined Molecule,Form (TLC3),Brand/Generic,Manufacturer,Product Sum,NDC,Product,Prod Form1,Prod Form2,Prod Form3,Strength,2013_Sales $,2014_Sales $,2015_Sales $,2016_Sales $,2017_Sales $,2018_Sales $,2019_Sales $,2013_Units,2014_Units,2015_Units,2016_Units,2017_Units,2018_Units,2019_Units,2013_NSP Ext. Units,2014_NSP Ext. Units,2015_NSP Ext. Units,2016_NSP Ext. Units,2017_NSP Ext. Units,2018_NSP Ext. Units,2019_NSP Ext. Units
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,AV KARE INC,IMATINIB MESY,42291035230 TAB FC 400MG 30,IMATINIB MESY 09/2016 AVK,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",400MG,,,,"$373,448 ","$856,859 ","$4,973 ",,,,,82,182,1,,,,,"2,460","5,460",30,
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,AVPAK,IMATINIB MESY,50268042612 TAB 100MG 20UD,IMATINIB MESY 02/2018 A8K,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",100MG,,,,,,"$47,227 ","$8,240 ",,,,,,37,6,,,,,,740,120
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,AVPAK,IMATINIB MESY,50268042712 TAB 400MG 20UD,IMATINIB MESY 02/2018 A8K,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",400MG,,,,,,"$48,410 ","$33,905 ",,,,,,11,8,,,,,,220,160
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,DR REDDY'S LAB,IMATINIB MESY,43598034490 TAB FC 100MG 90,IMATINIB MESY 10/2018 DRL,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",100MG,,,,,,"$36,932 ","$87,524 ",,,,,,119,305,,,,,,"10,710","27,450"
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,DR REDDY'S LAB,IMATINIB MESY,43598034530 TAB FC 400MG 30,IMATINIB MESY 10/2018 DRL,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",400MG,,,,,,"$331,452 ","$730,273 ",,,,,,"1,154","2,632",,,,,,"34,620","78,960"
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,GSMS INC.,IMATINIB MESY,60429092590 TAB FC 100MG 90,IMATINIB MESY 02/2017 G.M,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",100MG,,,,,"$355,104 ","$499,819 ","$89,134 ",,,,,345,486,137,,,,,"31,050","43,740","12,330"
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,GSMS INC.,IMATINIB MESY,60429092630 TAB FC 400MG 30,IMATINIB MESY 02/2017 G.M,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",400MG,,,,,"$1,754,087 ","$2,296,923 ","$494,550 ",,,,,"1,434","1,855",593,,,,,"43,020","55,650","17,790"
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,HIKMA PHARMACEUT,IMATINIB MESY,00054024822 TAB FC 100MG 90,IMATINIB MESY 11/2018 HKM,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",100MG,,,,,,"$14,950 ","$73,252 ",,,,,,65,229,,,,,,"5,850","20,610"
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,HIKMA PHARMACEUT,IMATINIB MESY,00054024913 TAB FC 400MG 30,IMATINIB MESY 11/2018 HKM,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",400MG,,,,,,"$30,280 ","$239,287 ",,,,,,153,705,,,,,,"4,590","21,150"
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,MYLAN,IMATINIB MESY,00378224577 TAB FC 100MG 90,IMATINIB MESY 12/2017 MYN,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",100MG,,,,,"$2,182 ","$601,294 ","$102,169 ",,,,,1,"1,475",378,,,,,90,"132,750","34,020"
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,MYLAN,IMATINIB MESY,00378224693 TAB FC 400MG 30,IMATINIB MESY 12/2017 MYN,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",400MG,,,,,"$51,038 ","$6,048,664 ","$316,806 ",,,,,23,"13,472",928,,,,,690,"404,160","27,840"
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,MYLAN INSTITUTION,IMATINIB MESY,42292004303 TAB FC 100MG 30UD,IMATINIB MESY 12/2017 M/I,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",100MG,,,,,"$50,471 ","$186,163 ","$15,844 ",,,,,28,105,9,,,,,840,"3,150",270
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,MYLAN INSTITUTION,IMATINIB MESY,42292004401 TAB FC 400MG 1UD,IMATINIB MESY 12/2017 M/I,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",400MG,,,,,,"$23,820 ",,,,,,,146,,,,,,,146,
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,MYLAN INSTITUTION,IMATINIB MESY,42292004403 TAB FC 400MG 30UD,IMATINIB MESY 12/2017 M/I,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",400MG,,,,,"$24,823 ","$286,616 ",,,,,,4,49,,,,,,120,"1,470",
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,NORTHSTAR RX,IMATINIB MESY,16714070401 TAB FC 100MG 90,IMATINIB MESY 03/2018 NOS,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",100MG,,,,,,"$1,611,141 ","$770,545 ",,,,,,"2,313","1,288",,,,,,"208,170","115,920"
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,NORTHSTAR RX,IMATINIB MESY,16714070501 TAB FC 400MG 30,IMATINIB MESY 03/2018 NOS,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",400MG,,,,,,"$5,414,342 ","$2,105,638 ",,,,,,"8,629","4,196",,,,,,"258,870","125,880"
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,SUN PHARMACEUTICAL,IMATINIB MESY,47335047281 TAB FC 100MG 90,IMATINIB MESY 02/2016 SPI,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",100MG,,,,"$101,363,334 ","$40,481,668 ","$7,919,442 ","$896,211 ",,,,"21,137","17,508","8,190","2,456",,,,"1,902,330","1,575,720","737,100","221,040"
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,SUN PHARMACEUTICAL,IMATINIB MESY,47335047583 TAB FC 400MG 30,IMATINIB MESY 02/2016 SPI,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",400MG,,,,"$446,272,708 ","$191,738,461 ","$33,661,510 ","$3,834,625 ",,,,"78,439","72,815","30,806","8,173",,,,"2,353,170","2,184,450","924,180","245,190"
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,TEVA PHARMACEUTICA,IMATINIB MESY,00093762998 TAB FC 100MG 90,IMATINIB MESY 08/2016 TEV,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",100MG,,,,"$4,185,785 ","$15,000,349 ","$19,577,942 ","$4,028,481 ",,,,"1,163","5,253","13,787","4,781",,,,"104,670","472,770","1,240,830","430,290"
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,TEVA PHARMACEUTICA,IMATINIB MESY,00093763056 TAB FC 400MG 30,IMATINIB MESY 08/2016 TEV,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",400MG,,,,"$18,330,151 ","$63,754,374 ","$85,998,183 ","$16,637,039 ",,,,"4,216","20,115","55,663","19,897",,,,"126,480","603,450","1,669,890","596,910"
