"ProductNameLong","Description","CompanyName","PackageIdentifier","TypeName","SpecificProductID","SpecificDrugProductID","GenericDrugProductID","EquivalenceCodes","BrandGenericStatus","LicenseTypeName","LegendStatus","MarketStatus","OffMarketDate","Repackaged","PrivateLabel","DEAClassification","ReplacedByPackageID","MarketClasses","PackageSize","Ingredients","OnMarketDate","WACBeginDate","WACPrice","WACPriceChange","WACUnitPrice"
"Vazculep 50mg/5ml Bulk Solution for Injection","box, 10 vials, 5 ml Phenylephrine HCl 10mg/1mL, Solution for injection","Avadel Legacy Pharmaceuticals, Inc.","76014-0004-10","NDC",12921,10481,2281,"AP","Brand","NDA","Rx","On",,"No","No","NA",,"Cardiac Stimulants Excluding Dopaminergic Agents (Intravenous)",50.0000,"(2195) Phenylephrine Hydrochloride","2014-10-01 00:00:00","2018-08-03","220.70","(-) 15.05","4.41400"
"Diltiazem Hydrochloride 120mg Extended-Release Capsule","bottle, 90 each Diltiazem HCl 120mg, Oral capsule, extended release","AvKARE, Inc.","42291-0184-90","NDC",48,42,33,"AB3","Generic","aNDA","Rx","On",,"No","No","NA",,"Anti-anginal Agents, other (Oral); Anti-arrhythmics, Class IV (Oral); Benzothiazepine Calcium Channel Blockers (Oral)",90.0000,"(1111) Diltiazem Hydrochloride","2016-10-10 00:00:00","2019-04-16","13.12","(-) 39.81","0.14577"
"Diltiazem Hydrochloride 180mg Extended-Release Capsule","bottle, 90 each Diltiazem HCl 180mg, Oral capsule, extended release","AvKARE, Inc.","42291-0185-90","NDC",63,57,33,"AB3","Generic","aNDA","Rx","On",,"No","No","NA",,"Anti-anginal Agents, other (Oral); Anti-arrhythmics, Class IV (Oral); Benzothiazepine Calcium Channel Blockers (Oral)",90.0000,"(1111) Diltiazem Hydrochloride","2016-10-10 00:00:00","2019-04-16","14.86","(-) 39.44","0.16511"
"Diltiazem Hydrochloride 240mg Extended-Release Capsule","bottle, 90 each Diltiazem HCl 240mg, Oral capsule, extended release","AvKARE, Inc.","42291-0186-90","NDC",49,43,33,"AB3","Generic","aNDA","Rx","On",,"No","No","NA",,"Anti-anginal Agents, other (Oral); Anti-arrhythmics, Class IV (Oral); Benzothiazepine Calcium Channel Blockers (Oral)",90.0000,"(1111) Diltiazem Hydrochloride","2016-10-10 00:00:00","2019-04-16","20.04","(-) 34.01","0.22266"
"Diltiazem Hydrochloride 300mg Extended-Release Capsule","bottle, 90 each Diltiazem HCl 300mg, Oral capsule, extended release","AvKARE, Inc.","42291-0187-90","NDC",50,44,33,"AB3","Generic","aNDA","Rx","On",,"No","No","NA",,"Anti-anginal Agents, other (Oral); Anti-arrhythmics, Class IV (Oral); Benzothiazepine Calcium Channel Blockers (Oral)",90.0000,"(1111) Diltiazem Hydrochloride","2016-10-10 00:00:00","2019-04-16","22.96","(-) 44.84","0.25511"
"Tridesilon 0.05% Topical Cream","tube, 60 grams Desonide 0.05%, Topical cream","Encore Dermatology, Inc.","69482-0600-60","NDC",1155,1060,609,"AB","Generic","NDA","Rx","On",,"No","No","NA",,"Plain Topical Corticosteroids (Topical)",60.0000,"(1011) Desonide","2016-11-01 00:00:00","2018-10-04","711.00","(+) 8.94","11.85000"
"Hydromorphone Hydrochloride 8mg Extended-Release Tablet","bottle, 100 each Hydromorphone HCl 8mg, Oral tablet, extended release","Trigen Laboratories, Inc.","13811-0701-10","NDC",17358,14275,9005,"AB","Generic","aNDA","Rx","On",,"No","No","schedule II",,"Opioid Agonists (Oral)",100.0000,"(1590) Hydromorphone Hydrochloride","2016-10-01 00:00:00","2019-03-20","769.85","(+) 57.91","7.69850"
"Hydromorphone Hydrochloride 12mg Extended-Release Tablet","bottle, 100 each Hydromorphone HCl 12mg, Oral tablet, extended release","Trigen Laboratories, Inc.","13811-0702-10","NDC",17356,14273,9005,"AB","Generic","aNDA","Rx","On",,"No","No","schedule II",,"Opioid Agonists (Oral)",100.0000,"(1590) Hydromorphone Hydrochloride","2016-10-01 00:00:00","2019-03-20","1150.61","(+) 91.76","11.50610"
"Hydromorphone Hydrochloride 16mg Extended-Release Tablet","bottle, 100 each Hydromorphone HCl 16mg, Oral tablet, extended release","Trigen Laboratories, Inc.","13811-0703-10","NDC",17357,14274,9005,"AB","Generic","aNDA","Rx","On",,"No","No","schedule II",,"Opioid Agonists (Oral)",100.0000,"(1590) Hydromorphone Hydrochloride","2016-10-01 00:00:00","2019-03-20","1534.14","(+) 91.76","15.34140"
"Hydromorphone Hydrochloride 32mg Extended-Release Tablet","bottle, 100 each Hydromorphone HCl 32mg, Oral tablet, extended release","Trigen Laboratories, Inc.","13811-0704-10","NDC",20091,16886,9005,"AB","Generic","aNDA","Rx","On",,"No","No","schedule II",,"Opioid Agonists (Oral)",100.0000,"(1590) Hydromorphone Hydrochloride","2016-10-01 00:00:00","2019-03-20","2029.00","(+) 26.81","20.29000"
"Glassia 1g/50mL Solution for Injection","box, 1 vials, 50 ml Alpha-1-Proteinase Inhibitor (Human), Solution for injection and 1 each Filter needle","Baxalta Inc, a Shire Company","00944-2884-01","NDC",19087,15910,9305,"NR","Brand","BLA","Rx","On",,"No","No","NA",,"Emphysema Agents (Intravenous)",1.0000,"(71) Alpha-1-Proteinase Inhibitor (Human)","2010-09-20 00:00:00","2019-07-01","0.56","(+) 1.81","0.56000"
"Daytrana 30mg/9hr Transdermal System","box, 30 each Methylphenidate HCl 3.3mg/1h, Transdermal Patch - 9 hour","Noven Therapeutics, LLC ","68968-5555-03","NDC",13034,10554,6915,"NR","Brand","NDA","Rx","On",,"No","No","schedule II",,"Psychostimulants, Methylphenidate Derivatives (Topical)",30.0000,"(1369) Methylphenidate Hydrochloride","2011-02-16 00:00:00","2019-01-15","366.12","(+) 1.10","12.20400"
"Centany AT 2% Topical Ointment Kit","box, 1 tubes, 30 grams Mupirocin 2%, Topical ointment and 24 each Cloth Tape, 12 each Gauze Pad","Medimetriks Pharmaceuticals, Inc.","43538-0310-30","NDC",18145,1807,1091,"BX","Brand","NDA","Rx","On",,"No","No","NA",,"Topical Antibacterial Agents, Other (Topical)",1.0000,"(1992) Mupirocin","2010-12-01 00:00:00","2019-03-22","276.73","(+) 3.60","276.73000"
"Sumaxin TS 8%-4% Topical Suspension","bottle, 473 ml Sulfacetamide Sod 8%, Sulfur 4%, Topical suspension","Medimetriks Pharmaceuticals, Inc.","43538-0160-16","NDC",18146,15009,2958,"NA","Brand","Unapproved Drug","Rx","On",,"No","No","NA",,"Topical Sulfonamides (Topical)",473.0000,"(1736) Sulfacetamide Sodium; (1751) Sulfur","2010-11-01 00:00:00","2019-03-22","550.56","(+) 3.59","1.16397"
"Daytrana 10mg/9hr Transdermal System","box, 30 each Methylphenidate HCl 1.1mg/1h, Transdermal Patch - 9 hour","Noven Therapeutics, LLC ","68968-5552-03","NDC",13031,10551,6915,"NR","Brand","NDA","Rx","On",,"No","No","schedule II",,"Psychostimulants, Methylphenidate Derivatives (Topical)",30.0000,"(1369) Methylphenidate Hydrochloride","2011-02-26 00:00:00","2019-01-15","366.12","(+) 1.10","12.20400"
"Adynovate 750units Powder for Injection","box, 1 Microinjection system, 1 each Antihemophilic Factor (Recombinant), PEGylated, Lyophilisate for solution for injection and 2 ml Sterile Water for Injection","Baxalta Inc, a Shire Company","00944-4626-01","NDC",24709,20538,13100,"NR","Brand","BLA","Rx","On",,"No","No","NA",,"Blood Coagulation Factors (Intravenous)",1.0000,"(5706) Antihemophilic Factor (Recombinant), PEGylated","2017-01-18 00:00:00","2019-01-01","2.10","(+) 3.96","2.10000"
"Adynovate 1500units Powder for Injection","box, 1 Microinjection system, 1 each Antihemophilic Factor (Recombinant), PEGylated, Lyophilisate for solution for injection and 2 ml Sterile Water for Injection","Baxalta Inc, a Shire Company","00944-4627-01","NDC",24709,20538,13100,"NR","Brand","BLA","Rx","On",,"No","No","NA",,"Blood Coagulation Factors (Intravenous)",1.0000,"(5706) Antihemophilic Factor (Recombinant), PEGylated","2017-01-18 00:00:00","2019-01-01","2.10","(+) 3.96","2.10000"
"Etodolac 200mg Capsule","bottle, 100 each Etodolac 200mg, Oral capsule","AvKARE, Inc.","42291-0404-01","NDC",81,74,51,"AB","Generic","aNDA","Rx","On",,"No","No","NA",,"Nonsteroidal Antiinflammatory Drugs/NSAIDs (Oral)",100.0000,"(675) Etodolac","2017-01-09 00:00:00","2019-04-16","15.11","(-) 34.58","0.15110"
"Etodolac 300mg Capsule","bottle, 100 each Etodolac 300mg, Oral capsule","AvKARE, Inc.","42291-0405-01","NDC",82,75,51,"AB","Generic","aNDA","Rx","On",,"No","No","NA",,"Nonsteroidal Antiinflammatory Drugs/NSAIDs (Oral)",100.0000,"(675) Etodolac","2017-01-09 00:00:00","2019-04-16","16.78","(-) 30.51","0.16780"
"Betapace 160mg Tablet","bottle, 100 each Sotalol HCl 160mg, Oral tablet","Covis Pharma","70515-0106-10","NDC",1149,1055,197,"AB1","Brand","aNDA","Rx","On",,"No","No","NA",,"Anti-arrhythmics, Class III (Oral)",100.0000,"(1688) Sotalol Hydrochloride","2017-01-23 00:00:00","2019-06-04","3372.66","(+) 4.99","33.72660"
"Dextrose 5% Solution for Injection","bag, 250 ml Dextrose 5%, Solution for injection","Baxter Medication Delivery","00338-0062-30","NDC",1968,1703,1020,"AP","Generic","NDA","Rx","On",,"No","No","NA",,"Carbohydrate IV Solutions and Additives, 10% or less (Intravenous)",250.0000,"(1063) Dextrose","2019-06-10 00:00:00","2019-06-10","4.41",,"0.01764"
"PediaSure Enteral 1 Cal Therapeutic Nutrition (Vanilla)","can 237 ml Liquid Nutrition","Abbott Nutrition","70074-067401","UPC",27077,,,"NA","Brand","N/A","OTC","On",,"No","No","NA",,"",237.0000,"","2019-05-01 00:00:00","2019-05-01","1.75",,"0.00738"
"DECONEX DMX 10mg-17.5mg-400mg Tablet","bottle, 100 each Dextromethorphan HBr 17.5mg, Phenylephrine HCl 10mg, Guaifenesin 400mg, Oral tablet","Poly Pharmaceuticals Inc","50991-0740-01","NDC",27085,21645,1593,"NA","Brand","OTC Final","OTC","On",,"No","No","NA",,"Non-Opioid Antitussive, Decongestant, and Expectorant Combinations (Oral)",100.0000,"(1061) Dextromethorphan Hydrobromide; (2195) Phenylephrine Hydrochloride; (1153) Guaifenesin","2019-06-01 00:00:00","2019-06-01","62.27",,"0.62270"
"Dextrose 5% Solution for Injection","bag, 500 ml Dextrose 5%, Solution for injection","Baxter Medication Delivery","00338-0066-20","NDC",1968,1703,1020,"AP","Generic","NDA","Rx","On",,"No","No","NA",,"Carbohydrate IV Solutions and Additives, 10% or less (Intravenous)",500.0000,"(1063) Dextrose","2019-06-10 00:00:00","2019-06-10","4.88",,"0.00976"
"Tizanidine Hydrochloride 4mg Tablet","bottle, 150 each Tizanidine HCl 4mg, Oral tablet","Major Pharmaceuticals Inc, a Harvard Drug Group Company","00904-6898-92","NDC",319,299,183,"AB","Generic","aNDA","Rx","On",,"No","No","NA",,"Muscle Relaxants, Centrally Acting, Plain (Oral)",150.0000,"(1488) Tizanidine Hydrochloride","2019-06-10 00:00:00","2019-06-10","11.79",,"0.07860"
"Poly Hist Forte 10.5mg-10mg Tablet","bottle, 100 each Phenylephrine HCl 10mg, Doxylamine Succ 10.5mg, Oral tablet","Poly Pharmaceuticals Inc","50991-0626-01","NDC",27087,21646,11658,"NA","Brand","OTC Final","OTC","On",,"No","No","NA",,"Sedating Antihistamine and Decongestant Combinations (Oral)",100.0000,"(2195) Phenylephrine Hydrochloride; (567) Doxylamine Succinate","2019-06-01 00:00:00","2019-06-01","61.57",,"0.61570"
"ALA-HIST PE 2mg-10mg Tablet","bottle, 90 each Dexbrompheniramine Maleate 2mg, Phenylephrine HCl 10mg, Oral tablet","Poly Pharmaceuticals Inc","50991-0782-90","NDC",25227,20777,11735,"NA","Brand","OTC Final","OTC","On",,"No","No","NA",,"Sedating Antihistamine and Decongestant Combinations (Oral)",90.0000,"(1018) Dexbrompheniramine Maleate; (2195) Phenylephrine Hydrochloride","2019-06-01 00:00:00","2019-06-01","56.04",,"0.62267"
"Humira Crohns Disease Pediatric Starter Package Pre-Filled Syringe Kit","box, 2 pre-filled syringe, 0.4 ml Adalimumab 40mg/0.4mL, Solution for injection, 0.8 ml Adalimumab 80mg/0.8mL, Solution for injection and 2 each 29 gauge, 0.5 inch needle, 2 each Alcohol Pad or Swab","AbbVie US LLC","00074-0067-02","NDC",25882,21198,13435,"NR","Brand","BLA","Rx","On",,"No","No","NA",,"Tumor Necrosis Factor (TNF)-Alpha Inhibitors (Subcutaneous)",2.0000,"(31) Adalimumab; (31) Adalimumab","2018-05-01 00:00:00","2019-01-01","7761.16","(+) 6.20","3880.58000"
"JYNARQUE 45mg-15mg Tablet","box, 4 multi-item blister cards, 7 each Tolvaptan 15mg, Oral tablet, 7 each Tolvaptan 45mg, Oral tablet","Otsuka America Pharmaceuticals Inc","59148-0087-28","NDC",25893,21201,13436,"NR","Brand","NDA","Rx","On",,"No","No","NA",,"Vasopressin Antagonists (Oral)",56.0000,"(3891) Tolvaptan; (3891) Tolvaptan","2018-05-24 00:00:00","2019-01-15","13693.16","(+) 5.00","244.52071"
"JYNARQUE 45mg-15mg Tablet","blister card, 7 each Tolvaptan 15mg, Oral tablet, 7 each Tolvaptan 45mg, Oral tablet","Otsuka America Pharmaceuticals Inc","59148-0087-07","NDC",25893,21201,13436,"NR","Brand","NDA","Rx","On",,"No","No","NA",,"Vasopressin Antagonists (Oral)",14.0000,"(3891) Tolvaptan; (3891) Tolvaptan","2018-05-24 00:00:00","2019-01-15","3423.29","(+) 5.00","244.52071"
"JYNARQUE 60mg-30mg Tablet","box, 4 multi-item blister cards, 7 each Tolvaptan 30mg, Oral tablet, 7 each Tolvaptan 60mg, Oral tablet","Otsuka America Pharmaceuticals Inc","59148-0088-28","NDC",25894,21202,13436,"NR","Brand","NDA","Rx","On",,"No","No","NA",,"Vasopressin Antagonists (Oral)",56.0000,"(3891) Tolvaptan; (3891) Tolvaptan","2018-05-24 00:00:00","2019-01-15","13693.16","(+) 5.00","244.52071"
"JYNARQUE 60mg-30mg Tablet","multi-item blister card, 7 each Tolvaptan 30mg, Oral tablet, 7 each Tolvaptan 60mg, Oral tablet","Otsuka America Pharmaceuticals Inc","59148-0088-07","NDC",25894,21202,13436,"NR","Brand","NDA","Rx","On",,"No","No","NA",,"Vasopressin Antagonists (Oral)",14.0000,"(3891) Tolvaptan; (3891) Tolvaptan","2018-05-24 00:00:00","2019-01-15","3423.29","(+) 5.00","244.52071"
"JYNARQUE 90mg-30mg Tablet","box, 4 multi-item blister cards, 7 each Tolvaptan 30mg, Oral tablet, 7 each Tolvaptan 90mg, Oral tablet","Otsuka America Pharmaceuticals Inc","59148-0089-28","NDC",25895,21203,13436,"NR","Brand","NDA","Rx","On",,"No","No","NA",,"Vasopressin Antagonists (Oral)",56.0000,"(3891) Tolvaptan; (3891) Tolvaptan","2018-05-24 00:00:00","2019-01-15","13693.16","(+) 5.00","244.52071"
"JYNARQUE 90mg-30mg Tablet","multi-item blister card, 7 each Tolvaptan 30mg, Oral tablet, 7 each Tolvaptan 90mg, Oral tablet","Otsuka America Pharmaceuticals Inc","59148-0089-07","NDC",25895,21203,13436,"NR","Brand","NDA","Rx","On",,"No","No","NA",,"Vasopressin Antagonists (Oral)",14.0000,"(3891) Tolvaptan; (3891) Tolvaptan","2018-05-24 00:00:00","2019-01-15","3423.29","(+) 5.00","244.52071"
"Lidocaine Hydrochloride 1% Solution for Injection","box, 10 vials, 5 ml Lidocaine HCl 1%, Solution for injection","AuroMedics Pharma LLC","55150-0162-05","NDC",4507,3527,2400,"AP","Generic","aNDA","Rx","On",,"No","No","NA",,"Amide Local Anesthetics (Epidural); Amide Local Anesthetics (Infiltration); Amide Local Anesthetics (Intracaudal); Anti-arrhythmics, Class I-B (Epidural); Anti-arrhythmics, Class I-B (Infiltration); Anti-arrhythmics, Class I-B (Intracaudal)",50.0000,"(1819) Lidocaine Hydrochloride","2013-12-16 00:00:00","2019-04-01","29.60","(+) 6.36","0.59200"
"Lidocaine Hydrochloride 1% Solution for Injection","vial, 30 ml Lidocaine HCl 1%, Solution for injection","AuroMedics Pharma LLC","55150-0163-30","NDC",4507,3527,2400,"AP","Generic","aNDA","Rx","On",,"No","No","NA",,"Amide Local Anesthetics (Epidural); Amide Local Anesthetics (Infiltration); Amide Local Anesthetics (Intracaudal); Anti-arrhythmics, Class I-B (Epidural); Anti-arrhythmics, Class I-B (Infiltration); Anti-arrhythmics, Class I-B (Intracaudal)",30.0000,"(1819) Lidocaine Hydrochloride","2013-12-16 00:00:00","2019-04-01","3.19","(+) 6.33","0.10633"
"Lidocaine Hydrochloride 2% Solution for Injection","box, 10 vials, 2 ml Lidocaine HCl 2%, Solution for injection","AuroMedics Pharma LLC","55150-0164-02","NDC",4517,3533,2400,"AP","Generic","aNDA","Rx","On",,"No","No","NA",,"Amide Local Anesthetics (Epidural); Amide Local Anesthetics (Infiltration); Amide Local Anesthetics (Intracaudal); Anti-arrhythmics, Class I-B (Epidural); Anti-arrhythmics, Class I-B (Infiltration); Anti-arrhythmics, Class I-B (Intracaudal)",20.0000,"(1819) Lidocaine Hydrochloride","2013-12-16 00:00:00","2019-04-01","33.33","(+) 6.34","1.66650"
"Lidocaine Hydrochloride 2% Solution for Injection","box, 10 vials, 5 ml Lidocaine HCl 2%, Solution for injection","AuroMedics Pharma LLC","55150-0165-05","NDC",4517,3533,2400,"AP","Generic","aNDA","Rx","On",,"No","No","NA",,"Amide Local Anesthetics (Epidural); Amide Local Anesthetics (Infiltration); Amide Local Anesthetics (Intracaudal); Anti-arrhythmics, Class I-B (Epidural); Anti-arrhythmics, Class I-B (Infiltration); Anti-arrhythmics, Class I-B (Intracaudal)",50.0000,"(1819) Lidocaine Hydrochloride","2013-12-16 00:00:00","2019-04-01","26.59","(+) 6.36","0.53180"
"Crinone 8% Vaginal Gel","box, 15 pre-filled applicator, 1.125 grams Progesterone 8%, Vaginal gel","Allergan USA, Inc.","52544-0256-12","NDC",6542,4928,3514,"NR","Brand","NDA","Rx","Off","2020-10-31 00:00:00","No","No","NA","00023-6151-08","Other Infertility Agents (Vaginal)",16.8750,"(2280) Progesterone","2014-01-13 00:00:00","2019-01-01","448.20","(+) 4.90","26.56000"
"Ativan 1mg Tablet","bottle, 100 each Lorazepam 1mg, Oral tablet","Bausch Health US, LLC","00187-0064-01","NDC",157,147,95,"AB","Brand","NDA","Rx","On",,"No","No","schedule IV",,"Anxiolytics, Benzodiazepines (Oral); Benzodiazepine Sedative/Hypnotics (Oral)",100.0000,"(1855) Lorazepam","2013-12-12 00:00:00","2019-01-18","3301.70","(+) 6.00","33.01700"
"Ativan 2mg Tablet","bottle, 100 each Lorazepam 2mg, Oral tablet","Bausch Health US, LLC","00187-0065-01","NDC",159,149,95,"AB","Brand","NDA","Rx","On",,"No","No","schedule IV",,"Anxiolytics, Benzodiazepines (Oral); Benzodiazepine Sedative/Hypnotics (Oral)",100.0000,"(1855) Lorazepam","2013-12-12 00:00:00","2019-01-18","5261.87","(+) 5.99","52.61870"
"Mozobil 24mg/1.2ml Solution for Injection","vial, 1.2 ml Plerixafor 20mg/1mL, Solution for injection","Genzyme Corp, a subsidiary of Sanofi","00024-5862-01","NDC",16115,13182,8342,"NR","Brand","NDA","Rx","On",,"No","No","NA",,"Colony-stimulating Factors (Subcutaneous)",1.2000,"(3842) Plerixafor","2013-12-12 00:00:00","2019-01-04","8032.18","(+) 5.20","6693.48333"
"Bupivacaine Hydrochloride 0.25% Solution for Injection","box, 25 vials, 10 ml Bupivacaine HCl 0.25%, Solution for injection","AuroMedics Pharma LLC","55150-0167-10","NDC",916,838,486,"AP","Generic","aNDA","Rx","On",,"No","No","NA",,"Amide Local Anesthetics (Epidural); Amide Local Anesthetics (Infiltration); Amide Local Anesthetics (Intracaudal)",250.0000,"(316) Bupivacaine Hydrochloride","2013-12-23 00:00:00","2019-04-01","48.91","(+) 6.34","0.19564"
"Hydromorphone Hydrochloride 2mg/ml Solution for Injection","box, 1 vials, 20 ml Hydromorphone HCl 2mg/1mL, Solution for injection","Hikma Pharmaceuticals USA Inc.","00641-2341-41","NDC",3085,2513,1665,"NA","Generic","Unapproved Drug","Rx","On",,"No","No","schedule II",,"Opioid Agonists (Intramuscular); Opioid Agonists (Intravenous); Opioid Agonists (Subcutaneous)",20.0000,"(1590) Hydromorphone Hydrochloride","2011-08-26 00:00:00","2018-11-01","19.50","(+) 50.00","0.97500"
"Hydromorphone Hydrochloride 2mg/ml Solution for Injection","vial, 20 ml Hydromorphone HCl 2mg/1mL, Solution for injection","Hikma Pharmaceuticals USA Inc.","00641-2341-39","NDC",3085,2513,1665,"NA","Generic","Unapproved Drug","Rx","On",,"No","No","schedule II",,"Opioid Agonists (Intramuscular); Opioid Agonists (Intravenous); Opioid Agonists (Subcutaneous)",20.0000,"(1590) Hydromorphone Hydrochloride","2011-08-26 00:00:00","2018-11-01","19.50","(+) 50.00","0.97500"
"Promethazine Hydrochloride 25mg/ml Solution for Injection","box, 25 ampules, 1 ml Promethazine HCl 25mg/1mL, Solution for injection","Hikma Pharmaceuticals USA Inc.","00641-1495-35","NDC",4152,3272,1206,"AP","Generic","aNDA","Rx","On",,"No","No","NA",,"Other Agents with Antihistaminic Action (Intramuscular); Other Agents with Antihistaminic Action (Intravenous); Phenothiazine Antiemetics (Intramuscular); Phenothiazine Antiemetics (Intravenous)",25.0000,"(2284) Promethazine Hydrochloride","2011-08-26 00:00:00","2018-11-01","46.20","(+) 40.00","1.84800"
"Promethazine Hydrochloride 25mg/ml Solution for Injection","ampule, 1 ml Promethazine HCl 25mg/1mL, Solution for injection","Hikma Pharmaceuticals USA Inc.","00641-1495-31","NDC",4152,3272,1206,"AP","Generic","aNDA","Rx","On",,"No","No","NA",,"Other Agents with Antihistaminic Action (Intramuscular); Other Agents with Antihistaminic Action (Intravenous); Phenothiazine Antiemetics (Intramuscular); Phenothiazine Antiemetics (Intravenous)",1.0000,"(2284) Promethazine Hydrochloride","2011-08-26 00:00:00","2018-11-01","1.85","(+) 40.00","1.84800"
